Hauteskundea,LH,Eskualdea,Udalerria,Barrutia,Alderdi,Izena
P12,ARABA-ÁLAVA,0,0,ARABA/ÁLAVA,EAJ-PNV,"'AGIRRE LOPEZ,XABIER'"
P12,ARABA-ÁLAVA,0,0,ARABA/ÁLAVA,EAJ-PNV,"'ALDAITURRIAGA ZORROZUA,NORBERTO'"
P12,ARABA-ÁLAVA,0,0,ARABA/ÁLAVA,EAJ-PNV,"'BELTRAN DE HEREDIA ARRONIZ,ESTEFANIA'"
P12,ARABA-ÁLAVA,0,0,ARABA/ÁLAVA,EAJ-PNV,"'BERRIOZABAL BOVEDA,JONE'"
P12,ARABA-ÁLAVA,0,0,ARABA/ÁLAVA,EAJ-PNV,"'CARRO IGLESIAS,FRANCISCO JAVIER'"
P12,ARABA-ÁLAVA,0,0,ARABA/ÁLAVA,EAJ-PNV,"'OREGI BASTARRIKA,ANA ISABEL'"
P12,ARABA-ÁLAVA,0,0,ARABA/ÁLAVA,EAJ-PNV,"'TELLERIA ORRIOLS,LUIS JAVIER'"
P12,ARABA-ÁLAVA,0,0,ARABA/ÁLAVA,EH BILDU,"'ARRAIZ BARBADILLO,HAXIER'"
P12,ARABA-ÁLAVA,0,0,ARABA/ÁLAVA,EH BILDU,"'ARRONDO ALDASORO,BELEN'"
P12,ARABA-ÁLAVA,0,0,ARABA/ÁLAVA,EH BILDU,"'ARZUAGA GUMUCIO,JULEN'"
P12,ARABA-ÁLAVA,0,0,ARABA/ÁLAVA,EH BILDU,"'BLANCO DE ANGULO,EVA'"
P12,ARABA-ÁLAVA,0,0,ARABA/ÁLAVA,EH BILDU,"'BREÑAS GONZALEZ DE ZARATE,ESTITXU'"
P12,ARABA-ÁLAVA,0,0,ARABA/ÁLAVA,EH BILDU,"'LOPEZ DE MUNAIN GANUZA,IGOR'"
P12,ARABA-ÁLAVA,0,0,ARABA/ÁLAVA,PP,"'BARRIO BAROJA,CARMELO'"
P12,ARABA-ÁLAVA,0,0,ARABA/ÁLAVA,PP,"'GARRIDO KNORR,LAURA'"
P12,ARABA-ÁLAVA,0,0,ARABA/ÁLAVA,PP,"'LOPEZ DE OCARIZ LOPEZ DE MUNAIN,MARIA CARMEN'"
P12,ARABA-ÁLAVA,0,0,ARABA/ÁLAVA,PP,"'MAROTO ARANZABAL,JAVIER IGNACIO'"
