TH,Eskualde-Kodea,Udalherri-Kodea,EREMU,Errolda,Hautesleak,Baliogabeak,Baleko,Zuriak,Hautagaien B.,Abstentzioa,EAJ-PNV,PP,EB-B,PH,EK-PCPE,POSI,UCE,PSE-EE/PSOE,PACMA/ATTKA,PUM+J,PFYV,UPYD,EQUO,IU-LV,EB-AZ,ONGI ETORRI,EH BILDU,PYC,HARTOS.ORG
ARABA-ÁLAVA,1,059,VITORIA-GASTEIZ,183640,117592,1764,115828,1734,114094,66048,25797,23921,1867,194,,,123,24756,534,563,,4665,3696,3702,1885,76,22263,52,
ARABA-ÁLAVA,2,001,ALEGRÍA-DULANTZI,2016,1266,20,1246,33,1213,750,362,147,27,2,,,0,206,3,5,,42,44,39,28,1,307,0,
ARABA-ÁLAVA,2,003,ARAMAIO,1199,889,3,886,4,882,310,270,8,13,0,,,0,26,1,1,,3,7,8,5,1,539,0,
ARABA-ÁLAVA,2,006,ARMIÑÓN,182,120,1,119,4,115,62,27,28,0,0,,,0,19,1,1,,8,0,4,1,0,26,0,
ARABA-ÁLAVA,2,008,ARRAZUA-UBARRUNDIA,789,532,1,531,7,524,257,178,85,13,0,,,0,67,4,2,,16,10,6,7,0,136,0,
ARABA-ÁLAVA,2,009,ASPARRENA,1296,873,9,864,4,860,423,293,51,11,0,,,2,74,5,1,,10,8,22,9,1,373,0,
ARABA-ÁLAVA,2,011,BAÑOS DE EBRO / MAÑUETA,242,163,6,157,7,150,79,54,62,0,0,,,0,18,0,0,,2,2,1,0,0,11,0,
ARABA-ÁLAVA,2,013,BARRUNDIA,710,470,1,469,6,463,240,150,50,6,0,,,0,34,2,7,,8,16,5,3,1,181,0,
ARABA-ÁLAVA,2,014,BERANTEVILLA,383,272,6,266,4,262,111,80,72,5,0,,,1,39,0,0,,13,5,6,2,0,39,0,
ARABA-ÁLAVA,2,016,BERNEDO,455,245,11,234,6,228,210,88,44,0,0,,,0,15,0,1,,9,1,5,2,0,63,0,
ARABA-ÁLAVA,2,017,CAMPEZO / KANPEZU,896,578,4,574,10,564,318,208,88,10,0,,,1,44,2,0,,9,6,9,5,0,182,0,
ARABA-ÁLAVA,2,018,ZIGOITIA,1396,936,14,922,13,909,460,289,108,13,0,,,1,87,5,0,,19,41,20,5,1,320,0,
ARABA-ÁLAVA,2,019,KRIPAN,154,123,0,123,0,123,31,81,16,0,0,,,0,5,0,0,,0,1,0,0,0,20,0,
ARABA-ÁLAVA,2,020,KUARTANGO,319,238,1,237,3,234,81,104,23,0,1,,,0,8,0,0,,2,1,1,1,0,93,0,
ARABA-ÁLAVA,2,021,ELBURGO / BURGELU,468,312,6,306,1,305,156,115,57,2,0,,,1,25,5,2,,12,9,9,6,0,62,0,
ARABA-ÁLAVA,2,022,ELCIEGO,821,538,12,526,9,517,283,111,134,9,1,,,2,138,1,0,,19,9,19,6,0,68,0,
ARABA-ÁLAVA,2,023,ELVILLAR / BILAR,286,192,1,191,4,187,94,71,58,1,0,,,0,20,0,0,,4,0,3,0,0,30,0,
ARABA-ÁLAVA,2,027,IRURAIZ-GAUNA,423,262,4,258,3,255,161,90,35,3,1,,,0,25,2,0,,8,4,3,5,0,79,0,
ARABA-ÁLAVA,2,028,LABASTIDA / BASTIDA,1099,690,5,685,12,673,409,164,200,3,0,,,0,96,1,1,,21,9,23,5,0,150,0,
ARABA-ÁLAVA,2,030,LAGRÁN,155,108,1,107,1,106,47,36,34,0,0,,,0,15,0,1,,1,2,1,2,0,14,0,
ARABA-ÁLAVA,2,031,LAGUARDIA,1219,788,37,751,6,745,431,195,263,10,2,,,0,88,4,0,,20,3,16,3,0,140,1,
ARABA-ÁLAVA,2,032,LANCIEGO / LANTZIEGO,530,359,10,349,1,348,171,115,94,4,0,,,0,54,2,2,,9,1,2,3,1,61,0,
ARABA-ÁLAVA,2,033,LAPUEBLA DE LABARCA,667,480,5,475,3,472,187,219,86,9,0,,,0,70,2,0,,6,2,10,1,0,67,0,
ARABA-ÁLAVA,2,034,LEZA,162,113,2,111,2,109,49,49,10,1,0,,,0,19,0,0,,0,1,1,0,0,28,0,
ARABA-ÁLAVA,2,037,ARRAIA-MAEZTU,624,403,5,398,1,397,221,153,73,2,1,,,0,27,1,0,,3,4,6,5,1,121,0,
ARABA-ÁLAVA,2,039,MOREDA DE ÁLAVA / MOREDA ARABA,212,161,4,157,3,154,51,53,30,3,0,,,0,41,3,0,,5,2,2,1,0,14,0,
ARABA-ÁLAVA,2,041,NAVARIDAS,157,94,1,93,4,89,63,35,29,0,0,,,0,7,0,0,,4,5,0,4,0,5,0,
ARABA-ÁLAVA,2,043,OYÓN-OION,2307,1377,27,1350,14,1336,930,285,372,17,1,,,3,261,3,3,,53,14,49,5,0,270,0,
ARABA-ÁLAVA,2,044,PEÑACERRADA-URIZAHARRA,236,157,1,156,1,155,79,49,32,3,0,,,0,15,0,0,,3,1,6,3,0,43,0,
ARABA-ÁLAVA,2,046,ERRIBERA GOITIA / RIBERA ALTA,606,382,5,377,6,371,224,144,72,2,0,,,1,43,2,1,,13,8,6,6,0,73,0,
ARABA-ÁLAVA,2,047,RIBERA BAJA / ERRIBERA BEITIA,938,556,12,544,12,532,382,156,144,6,0,,,0,122,0,0,,16,9,14,6,0,59,0,
ARABA-ÁLAVA,2,049,AÑANA,141,104,0,104,1,103,37,44,16,0,0,,,0,14,1,0,,0,1,1,1,0,25,0,
ARABA-ÁLAVA,2,051,SALVATIERRA / AGURAIN,3666,2237,18,2219,19,2200,1429,797,169,33,2,,,0,231,6,4,,37,36,47,29,1,806,2,
ARABA-ÁLAVA,2,052,SAMANIEGO,235,176,2,174,2,172,59,72,14,1,0,,,0,38,0,0,,1,2,2,1,0,41,0,
ARABA-ÁLAVA,2,053,SAN MILLÁN / DONEMILIAGA,600,350,4,346,3,343,250,128,31,7,2,,,0,13,0,1,,5,10,4,2,0,140,0,
ARABA-ÁLAVA,2,054,URKABUSTAIZ,944,684,5,679,15,664,260,210,47,9,0,,,0,51,1,0,,3,17,8,9,0,309,0,
ARABA-ÁLAVA,2,055,VALDEGOVÍA / GAUBEA,878,563,16,547,12,535,315,183,145,6,0,,,0,64,2,0,,7,9,7,5,0,106,1,
ARABA-ÁLAVA,2,056,HARANA / VALLE DE ARANA,246,161,0,161,1,160,85,95,19,1,0,,,0,12,1,0,,2,1,0,1,0,28,0,
ARABA-ÁLAVA,2,057,VILLABUENA DE ÁLAVA / ESKUERNAGA,255,193,1,192,1,191,62,83,26,1,0,,,0,7,0,0,,3,1,0,1,0,69,0,
ARABA-ÁLAVA,2,058,LEGUTIO,1336,847,5,842,7,835,489,243,42,11,0,,,0,78,1,1,,14,13,17,5,2,408,0,
ARABA-ÁLAVA,2,060,YÉCORA / IEKORA,209,142,4,138,1,137,67,41,61,0,1,,,0,11,2,0,,6,1,3,1,0,10,0,
ARABA-ÁLAVA,2,061,ZALDUONDO,151,127,2,125,3,122,24,51,4,2,0,,,0,10,2,3,,0,2,1,0,0,46,1,
ARABA-ÁLAVA,2,062,ZAMBRANA,330,193,1,192,4,188,137,54,61,0,0,,,0,34,0,0,,3,2,6,0,0,28,0,
ARABA-ÁLAVA,2,063,ZUIA,1809,1281,17,1264,38,1226,528,447,144,21,1,,,1,135,2,3,,27,37,13,24,1,370,0,
ARABA-ÁLAVA,2,901,IRUÑA OKA / IRUÑA DE OCA,2269,1423,21,1402,28,1374,846,313,278,22,4,,,0,337,9,3,,52,41,48,26,0,241,0,
ARABA-ÁLAVA,2,902,LANTARÓN,772,468,6,462,7,455,304,159,99,5,1,,,0,55,1,0,,11,11,16,6,0,91,0,
ARABA-ÁLAVA,3,002,AMURRIO,8082,5711,83,5628,45,5583,2371,2209,466,116,1,,,6,778,23,13,,76,46,118,54,4,1672,1,
ARABA-ÁLAVA,3,004,ARTZINIEGA,1418,986,27,959,10,949,432,390,132,16,0,,,2,84,6,0,,19,11,7,15,0,267,0,
ARABA-ÁLAVA,3,010,AYALA / AIARA,2264,1623,25,1598,21,1577,641,690,142,21,2,,,3,126,3,2,,18,10,30,12,0,517,1,
ARABA-ÁLAVA,3,036,LAUDIO / LLODIO,15218,10008,108,9900,119,9781,5210,3484,942,163,3,,,7,1709,23,13,,151,101,235,99,9,2842,0,
ARABA-ÁLAVA,3,042,OKONDO,907,669,9,660,8,652,238,304,39,9,1,,,0,16,0,1,,3,1,9,0,0,269,0,
ARABA-ÁLAVA,99,999,MUNICIPIO CERA ARABA,4677,404,15,389,7,382,4273,98,71,4,2,,,0,91,3,3,,12,13,9,4,1,71,0,
GIPUZKOA,1,040,HERNANI,15108,9491,67,9424,136,9288,5617,2203,456,117,5,,,11,1490,31,10,,79,76,230,92,,4488,,
GIPUZKOA,1,069,DONOSTIA-SAN SEBASTIÁN,146677,96915,492,96423,1379,95044,49762,28148,14825,1345,101,,,58,21626,454,221,,2368,878,2575,1252,,21193,,
