FECHAHORA;AMBITO;DESCRIP;CENSO;%ESCRUTADO;VOTOS;%VOTOS;%ABSTENCION;BLANCOS;%BLANCOS;NULOS;%NULOS;VALIDOS;%VALIDOS;EAJ-PNV;%EAJ-PNV;PP;%PP;EB-B;%EB-B;PH;%PH;EK-PCPE;%EK-PCPE;POSI;%POSI;UCE;%UCE;PSE-EE(PSOE);%PSE-EE(PSOE);PACMA/ATTKA;%PACMA/ATTKA;PUM+J;%PUM+J;PFyV;%PFyV;UPyD;%UPyD;EQUO;%EQUO;IU-LV;%IU-LV;Eb-Az;%Eb-Az;ONGI ETORRI;%ONGI ETORRI;EH BILDU;%EH BILDU;PYC;%PYC;HARTOS.org;%HARTOS.org;ESCAÑO_25;ASPIRANTE_1;VOTOS_NECESARIOS_1;ESCAÑOS_EAJ-PNV;ESCAÑOS_PP;ESCAÑOS_EB-B;ESCAÑOS_PH;ESCAÑOS_EK-PCPE;ESCAÑOS_POSI;ESCAÑOS_UCE;ESCAÑOS_PSE-EE(PSOE);ESCAÑOS_PACMA/ATTKA;ESCAÑOS_PUM+J;ESCAÑOS_PFyV;ESCAÑOS_UPyD;ESCAÑOS_EQUO;ESCAÑOS_IU-LV;ESCAÑOS_Eb-Az;ESCAÑOS_ONGI ETORRI;ESCAÑOS_EH BILDU;ESCAÑOS_PYC;ESCAÑOS_HARTOS.org
08/09/2016 09:18;00000;C.A. Euskadi;1718711;100,00;1135568;63,96;36,04;14640;1,29;9168;0,81;1126400;99,19;384766;34,60;130584;11,75;17345;1,56;1113;0,10;442;0,04;778;0,07;684;0,06;212809;19,14;4066;0,37;2476;0,22;821;0,07;21539;1,94;11625;1,05;30318;2,73;11480;1,03;101;0,01;277923;25,00;59;0,01;2831;0,25;;;0;27;10;0;0;0;0;0;16;0;0;0;1;0;0;0;0;21;0;0
08/09/2016 09:18;01000;ARABA/ÁLAVA;246317;100,00;159619;63,59;36,41;2270;1,42;2348;1,47;157271;98,53;40116;25,87;29374;18,95;2488;1,61;223;0,14;0;0,00;0;0,00;154;0,10;30358;19,59;669;0,43;638;0,41;0;0,00;5453;3,52;4287;2,77;4579;2,95;2309;1,49;101;0,07;34193;22,06;59;0,04;0;0,00;PSE-EE(PSOE);EAJ-PNV;362;7;5;0;0;0;0;0;6;0;0;0;1;0;0;0;0;6;0;0
08/09/2016 09:18;01001;ALEGRÍA-DULANTZI;2016;100,00;1266;62,80;37,20;33;2,61;20;1,58;1246;98,42;362;29,84;147;12,12;27;2,23;2;0,16;0;0,00;0;0,00;0;0,00;206;16,98;3;0,25;5;0,41;0;0,00;42;3,46;44;3,63;39;3,22;28;2,31;1;0,08;307;25,31;0;0,00;0;0,00;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/09/2016 09:18;01002;AMURRIO;8082;100,00;5711;70,66;29,34;45;0,79;83;1,45;5628;98,55;2209;39,56;466;8,35;116;2,08;1;0,02;0;0,00;0;0,00;6;0,11;778;13,94;23;0,41;13;0,23;0;0,00;76;1,36;46;0,82;118;2,11;54;0,97;4;0,07;1672;29,95;1;0,02;0;0,00;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/09/2016 09:18;01003;ARAMAIO;1199;100,00;889;74,15;25,85;4;0,45;3;0,34;886;99,66;270;30,61;8;0,91;13;1,47;0;0,00;0;0,00;0;0,00;0;0,00;26;2,95;1;0,11;1;0,11;0;0,00;3;0,34;7;0,79;8;0,91;5;0,57;1;0,11;539;61,12;0;0,00;0;0,00;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/09/2016 09:18;01004;ARTZINIEGA;1418;100,00;986;69,53;30,47;10;1,01;27;2,74;959;97,26;390;41,10;132;13,91;16;1,69;0;0,00;0;0,00;0;0,00;2;0,21;84;8,85;6;0,63;0;0,00;0;0,00;19;2,00;11;1,16;7;0,74;15;1,58;0;0,00;267;28,13;0;0,00;0;0,00;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/09/2016 09:18;01006;ARMIÑÓN;182;100,00;120;65,93;34,07;4;3,33;1;0,83;119;99,17;27;23,48;28;24,34;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;19;16,52;1;0,87;1;0,87;0;0,00;8;6,96;0;0,00;4;3,48;1;0,87;0;0,00;26;22,61;0;0,00;0;0,00;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/09/2016 09:18;01008;ARRAZUA-UBARRUNDIA;789;100,00;532;67,43;32,57;7;1,32;1;0,19;531;99,81;178;33,97;85;16,22;13;2,48;0;0,00;0;0,00;0;0,00;0;0,00;67;12,79;4;0,76;2;0,38;0;0,00;16;3,05;10;1,91;6;1,15;7;1,34;0;0,00;136;25,95;0;0,00;0;0,00;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/09/2016 09:18;01009;ASPARRENA;1296;100,00;873;67,36;32,64;4;0,46;9;1,03;864;98,97;293;34,07;51;5,93;11;1,28;0;0,00;0;0,00;0;0,00;2;0,23;74;8,60;5;0,58;1;0,12;0;0,00;10;1,16;8;0,93;22;2,56;9;1,05;1;0,12;373;43,37;0;0,00;0;0,00;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/09/2016 09:18;01010;AYALA / AIARA;2264;100,00;1623;71,69;28,31;21;1,29;25;1,54;1598;98,46;690;43,77;142;9,00;21;1,33;2;0,13;0;0,00;0;0,00;3;0,19;126;7,99;3;0,19;2;0,13;0;0,00;18;1,14;10;0,63;30;1,90;12;0,76;0;0,00;517;32,78;1;0,06;0;0,00;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
